Lunghezza del periodo minimo con n = 100
Metodo di generazione A:
99
98
96
99
100
97
100
96
97
99
99
99
100
98
100
100
100
99
99
99
100
99
100
98
97
98
99
99
96
99
98
100
99
98
97
100
99
99
100
99
100
100
99
100
95
99
99
99
96
98
100
99
97
98
95
99
98
96
99
95
98
100
100
99
100
99
98
97
97
97
98
97
100
99
99
98
99
96
99
99
98
99
97
98
96
97
97
98
100
99
98
95
98
97
100
98
93
100
99
100
100
99
100
97
99
96
99
95
98
99
100
100
100
100
98
99
99
100
95
99
100
100
98
99
100
100
100
100
94
100
100
99
98
100
99
98
99
97
99
97
99
97
99
100
99
95
97
98
98
100
100
98
97
99
98
99
100
99
99
100
97
98
99
99
97
99
92
97
100
99
97
100
96
100
97
99
100
100
99
100
100
99
99
99
100
94
99
96
99
100
100
100
99
100
97
100
98
100
100
99
99
100
96
98
96
99
96
91
99
99
99
100
98
98
97
96
97
99
98
99
97
100
100
100
100
94
97
99
98
99
99
98
94
94
100
97
99
99
98
100
98
99
99
98
97
99
100
100
99
99
99
100
100
99
97
98
99
99
99
99
99
100
97
96
97
99
99
98
91
96
94
100
98
100
99
99
98
98
97
100
95
98
100
99
97
98
94
99
99
100
95
96
100
95
97
100
99
96
99
92
97
97
99
100
99
100
100
98
99
94
100
99
99
100
93
100
94
97
98
99
100
100
100
96
100
96
100
100
100
100
100
99
97
99
99
98
99
98
95
100
99
100
96
100
99
99
99
100
98
100
98
99
99
100
100
99
99
97
100
96
97
100
98
98
99
99
98
93
99
100
98
100
97
99
97
99
94
92
100
100
100
100
99
100
99
100
98
99
99
98
98
97
100
97
96
99
99
99
98
97
99
95
99
99
100
97
99
100
100
99
100
99
100
99
98
98
98
99
100
98
100
99
99
99
99
97
100
99
98
95
98
99
98
98
96
99
95
97
99
98
98
100
99
98
98
98
98
100
100
96
93
99
97
100
98
98
98
98
99
100
100
99
99
100
100
99
100
98
100
95
98
98
99
99
99
100
99
92
100
99
97
97
98
99
99
99
100
96
94
98
96
97
100
98
100
99
100
99
99
100
99
99
99
100
98
98
100
98
96
96
98
99
98
100
98
100
97
98
98
100
100
99
100
99
98
99
98
98
96
97
100
98
97
98
96
100
99
98
98
98
94
100
99
99
100
96
98
98
100
96
99
100
100
100
100
99
99
100
99
98
100
98
99
98
92
99
96
98
100
95
97
99
100
100
97
97
99
99
100
100
100
100
100
99
100
94
96
99
98
99
100
99
99
96
99
99
98
96
100
100
100
94
97
99
97
98
98
99
98
99
100
99
97
98
98
99
99
96
99
99
100
99
99
96
99
98
100
98
99
100
100
99
95
98
99
98
99
98
99
99
96
99
100
99
97
99
100
100
98
97
98
99
98
97
96
100
99
99
98
98
100
98
96
98
94
100
98
94
97
98
98
99
96
99
99
97
97
96
100
100
96
98
98
100
100
98
100
97
100
99
97
96
98
93
98
99
100
100
99
97
100
99
98
99
100
97
98
97
100
99
95
99
98
97
95
100
97
98
99
98
99
100
98
99
100
98
95
98
98
99
98
98
100
100
98
100
99
99
98
98
100
98
99
99
100
98
99
100
100
97
99
98
99
100
93
99
95
98
99
98
99
99
100
99
99
100
100
100
95
100
96
99
97
99
100
100
100
98
98
98
100
95
99
98
97
99
96
99
100
100
100
96
100
96
99
99
100
99
96
97
100
97
97
96
96
99
99
99
99
97
100
99
100
100
99
98
100
96
94
98
99
100
99
100
97
99
99
99
97
99
98
100
99
99
100
95
100
100
96
99
98
95
99
96
98
100
96
98
100
100
97
97
100
97
98
95
100
99
96
96
99
100
96
98
98
98
98
98
100
100
100
100
98
96
98
98
99
100
98
97
97
98
99
100
100
99
100
98
98
99
97
100
99
98
97
98
98
100
99
99
99
99
98
97
97
97
96
99
100
94
100
98
99
100
98
98
98
100
100
100
100
99
